"","ID","gender","matchPercent","pRateAttr","pRateSincere","pRateIntell","pRateFun","pRateAmb","pRateShared","pApproval","pLikePercent","importanceRace","importanceReligion","wantsAttr","wantsSincere","wantsIntell","wantsFun","wantsAmb","wantsShared","otherGenderWantsAttr","otherGenderWantsIntell","otherGenderWantsFun","otherGenderWantsAmb","otherGenderWantsShared","selfRateAttr","selfRateSincere","selfRateIntell","selfRateFun","selfRateAmb","sameGenderWantsAttr","sameGenderWantsSincere","sameGenderWantsIntell","sameGenderWantsFun","sameGenderWantsAmb","sameGenderWantsShared"
"1",1,0,0.4,6.7,7.4,8,7.2,8,7.1,0.5,6.85,2,4,15,20,20,15,15,15,35,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,NA
"2",2,0,0.2,7.7,7.1,7.9,7.5,7.5,6.5,0.6,7.6,2,5,45,5,25,20,0,5,65,10,25,0,0,7,5,8,10,3,NA,NA,NA,NA,NA,NA
"3",3,0,0,6.55555555555556,6.77777777777778,7.22222222222222,6.22222222222222,7.11111111111111,6,0.444444444444444,6,8,4,35,10,35,10,10,0,50,20,30,0,0,8,9,9,8,8,NA,NA,NA,NA,NA,NA
"4",4,0,0.2,7,7.1,7.7,7.5,7.7,7.2,0.6,7.3,1,1,20,20,20,20,10,10,30,15,30,5,10,7,8,7,9,8,NA,NA,NA,NA,NA,NA
"5",5,0,0.2,5.3,7.7,7.6,7.2,7.8,6.2,0.3,6.1,8,1,20,5,25,25,10,15,50,10,20,5,5,6,3,10,6,8,NA,NA,NA,NA,NA,NA
"6",6,0,0.2,6.8,7.8,8.6,7,8,6.3,0.5,6.8,1,1,10,25,20,25,5,15,25,10,25,10,20,5,7,9,8,5,NA,NA,NA,NA,NA,NA
"7",7,0,0.2,7.9,7.6,8.2,7,7.5,6.7,0.7,7.6,2,4,15,15,25,20,15,10,30,13,25,10,10,6,6,7,5,7,NA,NA,NA,NA,NA,NA
"8",8,0,0.777777777777778,8.11111111111111,7.66666666666667,8.11111111111111,7.77777777777778,7.44444444444444,6.77777777777778,0.777777777777778,7.55555555555556,1,1,9.09,18.18,27.27,18.18,18.18,9.09,30,20,30,5,5,7,4,8,8,8,NA,NA,NA,NA,NA,NA
"9",9,0,0.7,7,7.4,7.5,7.8,6.9,6.3,0.7,7.1,1,1,20,10,20,30,10,10,30,10,20,10,10,7,6,7,10,7,NA,NA,NA,NA,NA,NA
"10",10,0,0.25,6.375,6.625,6,6.25,5.875,5.625,0.375,6,4,4,15,15,15,40,10,5,45,15,20,5,5,6,8,6,10,9,NA,NA,NA,NA,NA,NA
"11",11,1,0,5.55555555555556,8.66666666666667,8,5.33333333333333,6.44444444444444,5.22222222222222,0.444444444444444,6.22222222222222,7,3,35,20,20,20,0,5,25,20,20,25,5,8,9,8,7,5,NA,NA,NA,NA,NA,NA
"12",12,1,0.222222222222222,7.77777777777778,7.22222222222222,7.77777777777778,7.33333333333333,7.55555555555556,6.11111111111111,0.444444444444444,7.55555555555556,1,1,60,0,0,40,0,0,25,25,20,15,0,9,9,10,9,9,NA,NA,NA,NA,NA,NA
"13",13,1,0.333333333333333,4.66666666666667,7.66666666666667,8.66666666666667,6.66666666666667,5.88888888888889,5.88888888888889,0.333333333333333,6.33333333333333,3,5,19,18,19,18,14,12,20,16,18,16,14,4,7,8,8,3,NA,NA,NA,NA,NA,NA
"14",14,1,0.888888888888889,8,7.33333333333333,7.11111111111111,7.33333333333333,6.22222222222222,7.44444444444444,0.888888888888889,7.44444444444444,1,1,30,5,15,40,5,5,20,20,20,5,20,9,9,9,9,9,NA,NA,NA,NA,NA,NA
"15",15,1,0.333333333333333,5.77777777777778,7.66666666666667,7.77777777777778,7.22222222222222,6.44444444444444,6.66666666666667,0.333333333333333,6.33333333333333,3,1,30,10,20,10,10,20,20,20,20,10,10,7,7,9,7,9,NA,NA,NA,NA,NA,NA
"16",16,1,0.222222222222222,5.66666666666667,8.22222222222222,7.77777777777778,4.44444444444444,6,4.66666666666667,0.333333333333333,5.55555555555556,9,2,50,0,30,10,0,10,50,30,5,5,5,6,6,8,8,6,NA,NA,NA,NA,NA,NA
"17",17,1,0.111111111111111,6.88888888888889,7.33333333333333,8.55555555555556,6.11111111111111,6.44444444444444,6.66666666666667,0.777777777777778,6.88888888888889,1,1,35,15,25,10,5,10,25,20,20,10,5,7,7,8,6,4,NA,NA,NA,NA,NA,NA
"18",18,1,0.111111111111111,5.11111111111111,7.55555555555556,7.88888888888889,5.33333333333333,7.77777777777778,5.55555555555556,0.333333333333333,5.88888888888889,8,8,33.33,11.11,11.11,11.11,11.11,22.22,10,20,25,25,10,6,8,8,6,9,NA,NA,NA,NA,NA,NA
"19",19,1,0.9,7.7,6.8,7.7,8.5,7.1,7.7,0.9,7.6,1,1,50,0,25,10,0,15,40,20,10,10,5,10,6,10,10,10,NA,NA,NA,NA,NA,NA
"20",20,1,0.1,7.5,7.3,7.9,8.2,8.4,7.3,0.9,8.3,1,1,100,0,0,0,0,0,50,10,10,10,10,7,7,10,10,10,NA,NA,NA,NA,NA,NA
"21",21,0,0,5.07142857142857,7.42857142857143,7.92857142857143,5.71428571428571,6.78571428571429,5,0.214285714285714,5.85714285714286,8,10,12,18,20,16,16,18,35,10,15,5,20,5,9,9,7,10,NA,NA,NA,NA,NA,NA
"22",22,0,0.181818181818182,4.54545454545455,6.72727272727273,6.63636363636364,5.45454545454545,6.09090909090909,4.18181818181818,0.181818181818182,4.81818181818182,1,2,20,20,20,10,10,20,50,10,10,10,10,7,8,8,7,7,NA,NA,NA,NA,NA,NA
"23",23,0,0.230769230769231,5.84615384615385,7,6.69230769230769,6,6.07692307692308,4.92307692307692,0.461538461538462,5.61538461538461,9,6,10,20,40,10,10,10,40,20,20,5,10,5,8,7,6,8,NA,NA,NA,NA,NA,NA
"24",24,0,0,6.61538461538461,7,7.46153846153846,6.69230769230769,6.84615384615385,5.46153846153846,0.538461538461538,5.84615384615385,2,3,10,20,20,15,20,15,35,15,20,10,10,7,9,8,9,8,NA,NA,NA,NA,NA,NA
"25",25,0,0,7.83333333333333,7.25,7.08333333333333,7.5,6.16666666666667,4.83333333333333,0.833333333333333,6.70833333333333,10,2,20,20,15,15,15,15,30,10,20,10,15,7,9,8,7,6,NA,NA,NA,NA,NA,NA
"26",26,0,0,7.75,7.16666666666667,7.41666666666667,7.41666666666667,6.5,6,0.916666666666667,7.125,2,4,20,20,20,15,15,10,25,10,25,20,10,7,8,8,8,8,NA,NA,NA,NA,NA,NA
"27",27,0,0.0833333333333333,8.25,7.16666666666667,6.83333333333333,7.58333333333333,6.33333333333333,5.66666666666667,0.916666666666667,7.375,1,5,17,10,18,20,25,10,30,15,20,10,20,6,6,7,7,7,NA,NA,NA,NA,NA,NA
"28",28,0,0.0714285714285714,6.57142857142857,7.21428571428571,7.07142857142857,6.21428571428571,6.5,5.64285714285714,0.428571428571429,6.42857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,0,0.153846153846154,5.76923076923077,7.07692307692308,6.38461538461539,6.07692307692308,6.30769230769231,4.69230769230769,0.230769230769231,5.84615384615385,4,5,20,22,18,15,15,10,35,10,20,15,5,6,9,7,8,8,NA,NA,NA,NA,NA,NA
"30",30,0,0.0909090909090909,5.90909090909091,6.63636363636364,7.36363636363636,6.09090909090909,7.18181818181818,5.09090909090909,0.272727272727273,5.63636363636364,2,4,10,20,20,20,20,10,35,15,20,10,15,7,8,8,9,8,NA,NA,NA,NA,NA,NA
"31",31,0,0.0909090909090909,7.81818181818182,7.18181818181818,7.27272727272727,6.36363636363636,7.27272727272727,5.81818181818182,0.909090909090909,7,4,8,35,10,20,20,10,5,40,10,25,5,10,8,8,8,9,9,NA,NA,NA,NA,NA,NA
"32",32,0,0,6.71428571428571,7.64285714285714,8.07142857142857,7,7.28571428571429,5.42857142857143,0.571428571428571,6.64285714285714,1,1,50,0,50,0,0,0,95,0,5,0,0,7,5,9,9,7,NA,NA,NA,NA,NA,NA
"33",33,0,0,5.78571428571429,7.64285714285714,7.92857142857143,6.71428571428571,7.07142857142857,5.71428571428571,0.214285714285714,6.28571428571429,4,8,30,20,30,10,0,10,95,1,1,1,1,6,8,8,6,8,NA,NA,NA,NA,NA,NA
"34",34,0,0.142857142857143,7,7.14285714285714,7.14285714285714,6.64285714285714,6.92857142857143,5.21428571428571,0.642857142857143,6.71428571428571,2,2,30,5,30,15,15,5,20,25,20,5,10,7,7,7,7,8,NA,NA,NA,NA,NA,NA
"35",35,0,0.307692307692308,7.07692307692308,6.61538461538461,7.69230769230769,5.61538461538461,7.30769230769231,5.15384615384615,0.692307692307692,6,9,7,20,23,23,22,7,5,40,15,15,10,10,8,9,9,9,7,NA,NA,NA,NA,NA,NA
"36",36,0,0.153846153846154,6.46153846153846,7.15384615384615,7.30769230769231,6.23076923076923,7.38461538461539,5.23076923076923,0.615384615384615,6.15384615384615,7,8,20,25,20,15,15,5,40,10,30,5,10,8,7,8,8,6,NA,NA,NA,NA,NA,NA
"37",37,0,0.181818181818182,4.90909090909091,7.09090909090909,7.27272727272727,5.72727272727273,6.72727272727273,5.18181818181818,0.272727272727273,5.72727272727273,5,8,10,10,30,25,10,15,30,15,20,10,15,7,8,9,7,5,NA,NA,NA,NA,NA,NA
"38",38,0,0.166666666666667,6.66666666666667,7.58333333333333,7.91666666666667,7.75,7.75,6,0.5,6.58333333333333,8,1,50,10,20,10,10,0,70,5,15,0,5,8,2,8,7,8,NA,NA,NA,NA,NA,NA
"39",39,0,0.0714285714285714,4.28571428571429,7.5,7,7.07142857142857,6.28571428571429,5.35714285714286,0.142857142857143,5.92857142857143,6,4,20,20,20,15,15,10,55,10,15,5,10,6,9,8,6,7,NA,NA,NA,NA,NA,NA
"40",40,1,0,4.21428571428571,6.64285714285714,6.71428571428571,5.92857142857143,6.14285714285714,4.71428571428571,0.285714285714286,5.42857142857143,9,6,25,20,25,20,10,0,40,30,20,10,0,3,10,9,8,5,NA,NA,NA,NA,NA,NA
"41",41,1,0,3.46153846153846,6.07692307692308,6.53846153846154,4.07692307692308,6.92307692307692,3.38461538461538,0,NA,1,1,30,20,10,30,0,10,40,0,30,0,0,5,7,8,5,5,NA,NA,NA,NA,NA,NA
"42",42,1,0,4.8,5.86666666666667,6.8,5.53333333333333,6.66666666666667,4.8,0.2,5.23333333333333,1,6,20,25,20,15,10,10,25,10,30,5,20,6,9,8,6,4,NA,NA,NA,NA,NA,NA
"43",43,1,0.0625,4.0625,6.375,7.0625,4.5625,6.4375,3.9375,0.1875,4.6875,1,1,25,35,30,10,0,0,20,20,20,5,10,3,8,7,3,2,NA,NA,NA,NA,NA,NA
"44",44,1,0.222222222222222,4.88888888888889,6.55555555555556,6.72222222222222,4.61111111111111,5.77777777777778,4.05555555555556,0.222222222222222,4.88888888888889,3,3,25,15,25,25,15,15,50,15,20,5,5,7,9,9,8,9,NA,NA,NA,NA,NA,NA
"45",45,1,0.222222222222222,5.11111111111111,6.16666666666667,6.83333333333333,3.77777777777778,6.44444444444444,4.05555555555556,0.222222222222222,4.88888888888889,6,6,25,15,25,15,0,20,20,20,10,10,20,7,8,8,6,7,NA,NA,NA,NA,NA,NA
"46",46,1,0.214285714285714,7.35714285714286,6.57142857142857,7.14285714285714,6.64285714285714,6.07142857142857,5.35714285714286,0.428571428571429,6.60714285714286,2,3,20,35,20,10,10,5,20,20,25,5,10,7,8,7,5,7,NA,NA,NA,NA,NA,NA
"47",47,1,0.0555555555555556,4,5.83333333333333,6.5,5.55555555555556,5.94444444444444,4.61111111111111,0.0555555555555556,5.22222222222222,2,2,20,20,25,25,5,5,25,20,15,15,5,8,7,9,9,3,NA,NA,NA,NA,NA,NA
"48",48,1,0.0555555555555556,6.72222222222222,6.22222222222222,5.83333333333333,6.72222222222222,5.55555555555556,5.11111111111111,0.444444444444444,6.11111111111111,9,2,30,15,25,25,5,0,30,25,25,5,0,7,9,7,6,6,NA,NA,NA,NA,NA,NA
"49",49,1,0.375,6.5625,7.1875,7.75,7.03125,7,5.9375,0.5,6.75,1,3,20,20,20,20,5,15,30,15,15,15,10,7,10,10,10,8,NA,NA,NA,NA,NA,NA
"50",50,1,0.25,6.375,6.5,7.375,7.5,7.6875,5.875,0.5625,6.375,4,4,35,10,20,15,10,10,60,5,5,10,10,8,9,10,9,8,NA,NA,NA,NA,NA,NA
"51",51,1,0.0588235294117647,5.47058823529412,5.02941176470588,6.29411764705882,4.23529411764706,5.79411764705882,4.35294117647059,0.294117647058824,4.67647058823529,5,10,25,10,35,15,0,15,25,15,20,30,5,6,8,10,2,2,NA,NA,NA,NA,NA,NA
"52",52,1,0.0625,3.875,6.5,7.0625,5,6.1875,4.6875,0.1875,5.25,10,9,15,20,15,30,5,15,10,20,20,25,10,5,8,8,6,7,NA,NA,NA,NA,NA,NA
"53",53,1,0.0666666666666667,6.6,6.93333333333333,7.6,5.6,7.4,5.33333333333333,0.4,6.3,2,2,40,15,20,10,5,10,30,20,15,10,10,8,9,8,8,8,NA,NA,NA,NA,NA,NA
"54",54,1,0,4.35294117647059,6.11764705882353,6.67647058823529,4.64705882352941,6.41176470588235,4.82352941176471,0,4.88235294117647,1,1,40,20,20,20,0,0,20,10,20,10,10,8,9,8,8,8,NA,NA,NA,NA,NA,NA
"55",55,1,0.176470588235294,6.11764705882353,7.05882352941176,6.94117647058824,6.94117647058824,6.76470588235294,5.47058823529412,0.352941176470588,6.32352941176471,1,1,20,25,25,10,10,10,20,20,10,20,10,6,10,9,10,10,NA,NA,NA,NA,NA,NA
"56",56,0,0.111111111111111,7.55555555555556,7,6.66666666666667,6.88888888888889,7.11111111111111,4.88888888888889,0.666666666666667,6.44444444444444,10,9,17,18,18,15,17,15,32,12,27,7,12,10,10,8,9,5,NA,NA,NA,NA,NA,NA
"57",57,0,0.111111111111111,5.44444444444444,7.77777777777778,6.88888888888889,6,5.77777777777778,4.66666666666667,0.222222222222222,5.77777777777778,10,10,10,20,20,20,15,15,10,20,20,20,10,6,10,9,10,10,NA,NA,NA,NA,NA,NA
"58",58,0,0.25,6,6.875,6.125,6.375,6,5.625,0.5,5.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,0,0,6,7,6.66666666666667,3,4,3.66666666666667,0,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,0,0.111111111111111,4.88888888888889,7,6.33333333333333,6.77777777777778,6.22222222222222,4.66666666666667,0.222222222222222,5,3,10,5,20,25,15,15,20,60,10,10,5,5,7,9,9,9,9,NA,NA,NA,NA,NA,NA
"61",61,0,0.222222222222222,4,7.22222222222222,7.55555555555556,5.33333333333333,5.66666666666667,4.22222222222222,0.222222222222222,5.11111111111111,1,5,15,15,20,15,15,20,40,12,12,12,12,7,10,10,7,7,NA,NA,NA,NA,NA,NA
"62",62,0,0.25,8.125,7.375,7.5,6.75,6.5,6.375,0.875,7.625,1,1,30,10,20,20,10,10,60,5,10,10,10,9,9,9,9,9,NA,NA,NA,NA,NA,NA
"63",63,0,0.125,4.625,6.875,7,6,5.5,4.625,0.125,5.25,1,3,5,15,45,25,0,10,50,20,15,0,10,6,8,8,9,7,NA,NA,NA,NA,NA,NA
"64",64,0,0.1,5.3,6.2,7.4,5.6,6.5,4.7,0.2,5.2,6,3,10,25,25,10,10,20,20,15,20,15,15,8,8,9,6,9,NA,NA,NA,NA,NA,NA
"65",65,0,0,6.5,7.3,7,7.8,6.2,5.7,0.4,6.4,6,3,17,17,17,17,17,15,20,18,14,15,15,7,9,8,9,9,NA,NA,NA,NA,NA,NA
"66",66,1,0,5,7.25,6.875,6.375,6.625,4.625,0.25,5.625,1,1,20,25,15,15,53,20,15,20,20,10,15,6,7,8,7,8,NA,NA,NA,NA,NA,NA
"67",67,1,0.285714285714286,6.42857142857143,7.85714285714286,7.71428571428571,7,7,5,0.428571428571429,6,1,1,20,15,20,20,5,10,17,17,20,11,15,5,7,7,6,7,NA,NA,NA,NA,NA,NA
"68",68,1,0,5.5,5.8,7.8,4.9,6,4.7,0.2,4.7,1,1,21,17,22,20,8,13,18,17,14,20,16,6,8,8,7,8,NA,NA,NA,NA,NA,NA
"69",69,1,0.222222222222222,7.11111111111111,7.44444444444444,7.66666666666667,6.88888888888889,7.11111111111111,6.11111111111111,0.666666666666667,7.11111111111111,2,2,50,10,30,10,0,0,20,40,20,10,0,5,9,8,5,8,NA,NA,NA,NA,NA,NA
"70",70,1,0.111111111111111,6,7.44444444444444,8.55555555555556,8,8.44444444444444,6.22222222222222,0.333333333333333,6.77777777777778,5,1,25,10,20,20,15,10,20,25,30,15,5,8,6,9,8,6,NA,NA,NA,NA,NA,NA
"71",71,1,0.333333333333333,5,8.22222222222222,7.77777777777778,5.22222222222222,7.33333333333333,5.22222222222222,0.444444444444444,5.44444444444444,6,7,60,15,0,15,0,10,80,0,10,0,0,6,8,10,8,10,NA,NA,NA,NA,NA,NA
"72",72,1,0,6.4,7.4,6.5,5,5.6,4.8,0.2,4.6,8,1,21,20,19,20,10,10,30,10,20,10,15,7,9,8,8,8,NA,NA,NA,NA,NA,NA
"73",73,1,0,6,7.375,7.625,7.375,8.25,5.625,0.375,5.375,7,3,30,10,20,30,0,10,20,20,30,10,10,7,7,7,8,8,NA,NA,NA,NA,NA,NA
"74",74,1,0.2,5.3,7.3,7.6,6,7.2,4.9,0.3,5.5,3,1,30,0,30,30,10,0,30,10,30,10,20,7,9,8,9,7,NA,NA,NA,NA,NA,NA
"75",75,1,0.25,5.625,7.375,7.875,5.5,7.25,4.625,0.25,5.25,3,3,20,20,20,20,10,10,15,15,20,20,15,7,7,8,8,8,NA,NA,NA,NA,NA,NA
"76",76,0,0.357142857142857,5.78571428571429,7,7.78571428571429,7.57142857142857,6.71428571428571,6.07142857142857,0.428571428571429,6.42857142857143,5,7,10,10,30,20,10,20,50,10,10,10,10,6,6,8,6,4,NA,NA,NA,NA,NA,NA
"77",77,0,0.357142857142857,6.57142857142857,7.21428571428571,7.21428571428571,6.71428571428571,6.5,5.78571428571429,0.428571428571429,5.96428571428571,2,2,15,20,20,20,15,10,40,20,20,10,5,6,8,8,8,8,NA,NA,NA,NA,NA,NA
"78",78,0,0.153846153846154,6.03846153846154,6.61538461538461,6.26923076923077,5.30769230769231,4.92307692307692,4.69230769230769,0.230769230769231,5.26923076923077,1,4,10,25,20,10,20,15,40,10,20,10,15,3,10,8,3,8,NA,NA,NA,NA,NA,NA
"79",79,0,0.2,5.66666666666667,7.66666666666667,7.53333333333333,6.86666666666667,6.26666666666667,6.2,0.466666666666667,6.6,8,8,10,20,15,20,20,15,15,15,20,15,20,7,9,7,8,7,NA,NA,NA,NA,NA,NA
"80",80,0,0.214285714285714,6.21428571428571,7.85714285714286,7.42857142857143,5.75,6.57142857142857,4.92857142857143,0.214285714285714,5.85714285714286,3,1,10,20,20,10,20,20,25,10,20,10,15,8,8,8,8,8,NA,NA,NA,NA,NA,NA
"81",81,0,0.2,7.8,7.06666666666667,7.53333333333333,6.93333333333333,8,6.66666666666667,0.733333333333333,6.93333333333333,6,9,10,10,20,20,20,20,40,15,20,10,10,8,7,7,8,7,NA,NA,NA,NA,NA,NA
"82",82,0,0.333333333333333,6.4,7.46666666666667,7.13333333333333,7,6.13333333333333,5.3,0.533333333333333,6.63333333333333,2,7,20,20,20,20,10,10,30,20,20,5,10,8,9,8,8,7,NA,NA,NA,NA,NA,NA
"83",83,0,0.142857142857143,7.14285714285714,8,7.57142857142857,7.42857142857143,7.07142857142857,6.39285714285714,0.785714285714286,7.14285714285714,1,5,10,32,20,12,11,15,15,10,15,10,25,5,9,5,9,5,NA,NA,NA,NA,NA,NA
"84",84,0,0.133333333333333,6.4,7.53333333333333,7.7,6.96666666666667,6.8,5.8,0.466666666666667,6.6,1,1,30,30,30,5,0,5,50,5,20,0,20,7,9,8,7,5,NA,NA,NA,NA,NA,NA
"85",85,0,0.0769230769230769,6.07692307692308,7.46153846153846,7.23076923076923,6.30769230769231,6.07692307692308,5.84615384615385,0.230769230769231,5.92307692307692,3,5,20,25,15,15,15,10,25,15,25,10,10,7,9,8,9,9,NA,NA,NA,NA,NA,NA
"86",86,0,0.533333333333333,7,7.73333333333333,7.8,7.4,7.26666666666667,6.06666666666667,0.733333333333333,7.06666666666667,1,1,15,20,20,20,5,20,40,10,10,10,20,7,9,9,9,4,NA,NA,NA,NA,NA,NA
"87",87,0,0.153846153846154,7.38461538461539,7.38461538461539,7.07692307692308,6.92307692307692,6.46153846153846,5.26923076923077,0.615384615384615,6.53846153846154,8,10,15,15,20,15,15,20,15,20,15,15,20,9,9,9,9,9,NA,NA,NA,NA,NA,NA
"88",88,0,0,6.73333333333333,7.46666666666667,7.06666666666667,6.66666666666667,6.53333333333333,6.06666666666667,0.333333333333333,6.2,8,7,15,15,20,15,20,15,15,20,15,20,15,9,9,9,9,9,NA,NA,NA,NA,NA,NA
"89",89,0,0.133333333333333,6.73333333333333,7.2,7.46666666666667,5.8,7.2,4.66666666666667,0.333333333333333,6.06666666666667,3,2,25,15,20,20,20,0,50,10,20,5,5,8,9,9,8,10,NA,NA,NA,NA,NA,NA
"90",90,0,0.0714285714285714,5.64285714285714,7.85714285714286,7.57142857142857,4.92857142857143,5.78571428571429,4.07142857142857,0.142857142857143,5,4,1,15,21,18,18,10,18,10,15,15,10,25,5,8,7,5,5,NA,NA,NA,NA,NA,NA
"91",91,0,0.466666666666667,8.33333333333333,7.93333333333333,8.2,7.8,8.2,6.73333333333333,0.866666666666667,7.93333333333333,6,8,15,3,50,20,2,10,65,8,20,2,5,6,7,9,7,8,NA,NA,NA,NA,NA,NA
"92",92,0,0.384615384615385,7.76923076923077,7.46153846153846,7.38461538461539,6.15384615384615,6.69230769230769,5.84615384615385,0.615384615384615,6.53846153846154,1,2,10,20,20,20,20,10,30,10,30,10,10,9,10,9,9,9,NA,NA,NA,NA,NA,NA
"93",93,0,0.266666666666667,6.83333333333333,7.83333333333333,7.86666666666667,7.43333333333333,6.9,6.26666666666667,0.733333333333333,7,2,2,14,20,18,24,18,6,30,15,20,10,10,8,8,8,8,7,NA,NA,NA,NA,NA,NA
"94",94,1,0.142857142857143,3.57142857142857,5.14285714285714,6.85714285714286,5,7.64285714285714,4.42857142857143,0.142857142857143,4.35714285714286,6,8,20,20,20,10,10,20,50,30,20,0,0,6,9,9,9,7,NA,NA,NA,NA,NA,NA
"95",95,1,0.0625,4.6875,7.0625,7.1875,5.4375,6.75,5.0625,0.125,5.4375,7,5,18,18,18,19,13,14,16,19,23,14,13,7,9,10,8,7,NA,NA,NA,NA,NA,NA
"96",96,1,0,4.4375,7,7.625,5.25,7.1875,4.75,0,5.4375,3,6,10,20,20,22,6,22,20,15,20,10,10,7,9,9,9,9,NA,NA,NA,NA,NA,NA
"97",97,1,0.230769230769231,6.76923076923077,7.07692307692308,7.92307692307692,6.92307692307692,7.38461538461539,5.92307692307692,0.461538461538462,5.84615384615385,4,1,50,7,20,23,0,0,30,12,8,30,10,7,5,6,7,6,NA,NA,NA,NA,NA,NA
"98",98,1,0.117647058823529,5.82352941176471,7.52941176470588,7.05882352941176,4.23529411764706,6.05882352941176,4.35294117647059,0.117647058823529,5.70588235294118,1,1,40,20,15,20,0,5,30,14,14,14,14,8,8,8,8,8,NA,NA,NA,NA,NA,NA
"99",99,1,0.466666666666667,8,7.6,7.8,7.46666666666667,7.6,7.2,0.933333333333333,7.8,1,1,30,30,20,10,10,0,20,20,10,25,5,10,10,10,10,8,NA,NA,NA,NA,NA,NA
"100",100,1,0.142857142857143,4.92857142857143,7.92857142857143,8.07142857142857,6,7.64285714285714,5.64285714285714,0.357142857142857,6.32142857142857,8,9,20,25,25,15,5,10,20,20,15,15,15,7,8,9,8,6,NA,NA,NA,NA,NA,NA
"101",101,1,0,4.25,7.625,7.9375,4.6875,7,4.4375,0,5.03125,3,2,40,8,10,12,10,20,20,10,30,10,20,8,8,9,8,9,NA,NA,NA,NA,NA,NA
"102",102,1,0.0625,4.375,7.125,7.1875,5,6.25,4.125,0.125,4.96875,2,6,30,10,30,20,10,0,10,20,30,10,0,8,5,10,7,9,NA,NA,NA,NA,NA,NA
"103",103,1,0,6.26666666666667,7.06666666666667,6.86666666666667,6.4,7,5.13333333333333,0.2,5.73333333333333,8,9,40,5,20,10,10,15,40,10,20,15,10,8,8,9,8,9,NA,NA,NA,NA,NA,NA
"104",104,1,0.266666666666667,7.26666666666667,7.2,7.66666666666667,6.93333333333333,7.06666666666667,5.73333333333333,0.466666666666667,6.33333333333333,6,8,20,15,25,15,20,5,15,20,20,15,10,9,8,9,7,9,NA,NA,NA,NA,NA,NA
"105",105,1,0.411764705882353,6.35294117647059,7.94117647058824,8.17647058823529,8.05882352941176,7.64705882352941,6.58823529411765,0.529411764705882,NA,1,1,30,15,20,20,0,5,25,20,15,10,15,8,7,8,9,6,NA,NA,NA,NA,NA,NA
"106",106,1,0,5.07142857142857,7.5,7.57142857142857,6.57142857142857,6.92857142857143,5,0.142857142857143,5.92857142857143,1,3,10,20,35,10,5,20,20,20,20,5,20,4,7,9,3,2,NA,NA,NA,NA,NA,NA
"107",107,1,0.5625,6.75,8.25,8.0625,8,7.4375,7.125,0.625,7.3125,1,1,19,24,21,23,5,8,22,18,23,10,7,7,9,9,9,6,NA,NA,NA,NA,NA,NA
"108",108,1,0.222222222222222,7.16666666666667,7,7.5,6.77777777777778,6.94444444444444,6.11111111111111,0.555555555555556,6.66666666666667,1,1,10,20,35,20,0,15,25,15,15,10,10,4,8,7,3,2,NA,NA,NA,NA,NA,NA
"109",109,1,0.375,5.875,7.75,8.0625,7,7.25,6.4375,0.375,7,1,1,15,10,30,10,5,30,20,15,15,20,15,6,9,9,8,8,NA,NA,NA,NA,NA,NA
"110",110,1,0.142857142857143,5.71428571428571,6.78571428571429,7.14285714285714,7,7.21428571428571,5.64285714285714,0.214285714285714,5.92857142857143,4,6,20,20,15,15,5,25,20,15,15,5,25,7,9,8,8,7,NA,NA,NA,NA,NA,NA
"111",111,1,0,5,7.42857142857143,7.5,6.57142857142857,7.14285714285714,5.5,0.0714285714285714,5.71428571428571,7,1,20,20,20,20,10,10,25,15,15,10,15,5,8,8,5,5,NA,NA,NA,NA,NA,NA
"112",112,0,0.6,7.9,7.3,7.5,7,6.2,6.4,0.8,7.4,1,1,15,15,20,25,10,15,45,10,20,0,5,9,10,9,9,9,NA,NA,NA,NA,NA,NA
